,text,top_class,hate_speech,offensive_language,neither
134,Impy! HeyGuys,neither,0.039453208442083915,0.33037608806864915,0.6301707034892671
135,"Time to snuff out the cinder king and leave him a smoulder. Good luck, Vox Machina!",neither,0.038310864870286815,0.3155612939017171,0.6461278412279962
136,#DownWithTheCinderKing !!,neither,0.039453208442083915,0.33037608806864915,0.6301707034892671
137,yeaaah,neither,0.039453208442083915,0.33037608806864915,0.6301707034892671
138,what an excellent start,neither,0.04494781949898801,0.32160347245351634,0.6334487080474956
139,Oh my *** god,neither,0.030266422441093326,0.3826887244424903,0.5870448531164164
140,Where can i buy this book,neither,0.04147528482424902,0.2960561746644689,0.6624685405112821
141,gandsSCANLAN gandsSCANLAN gandsSCANLAN gandsSCANLAN gandsSCANLAN gandsSCANLAN gandsSCANLAN,neither,0.039453208442083915,0.33037608806864915,0.6301707034892671
142,OMG HECK YE,neither,0.039453208442083915,0.33037608806864915,0.6301707034892671
143,They are procrastinating so hard on this fight.,offensive_language,0.048850807558912315,0.5594377919607868,0.3917114004803007
144,damn alpha making the stream crappy,offensive_language,0.04360668550893733,0.6292079806696094,0.3271853338214532
145,Is Matt wearing the robe he wore when the cops found that murder weapon,neither,0.03780896611546685,0.35528451944583755,0.6069065144386956
146,DAMMIT GLENN!,neither,0.039453208442083915,0.33037608806864915,0.6301707034892671
147,Glen always has bad news,neither,0.03466189440843038,0.3827406434737397,0.5825974621178299
148,WE BACK,neither,0.039166053543719236,0.3352498561084645,0.6255840903478163
149,aaand we're back,neither,0.0707855877519284,0.2891816921207498,0.6400327201273217
150,Dang Critters!,neither,0.039453208442083915,0.33037608806864915,0.6301707034892671
151,video stuttering?,neither,0.049266163358008055,0.16382463337382713,0.7869092032681648
152,@tiamatzx whats in the booooox!!!,neither,0.038297107469201584,0.3090653736855547,0.6526375188452438
153,gandsGandsPoo,neither,0.039453208442083915,0.33037608806864915,0.6301707034892671
154,It's the tone. Travis is so quick and that dry tone is perfect,neither,0.043407998060105375,0.3409438756336928,0.6156481263062018
155,<3,neither,0.039453208442083915,0.33037608806864915,0.6301707034892671
156,When did this start?,neither,0.027811045646038854,0.3921104707509081,0.5800784836030531
157,#freedenise,neither,0.039453208442083915,0.33037608806864915,0.6301707034892671
158,lol,neither,0.020706217963973744,0.4882283491876925,0.4910654328483337
159,YESSSSS,neither,0.039453208442083915,0.33037608806864915,0.6301707034892671
160,is the stream offline?,neither,0.04821859290557782,0.3082226893523169,0.6435587177421052
161,gandsSubHype gandsSubHype gandsSubHype gandsSubHype gandsSubHype,neither,0.039453208442083915,0.33037608806864915,0.6301707034892671
162,Seriously I would pay epic amounts of money for a compilation of all the featured Critical Role art.,neither,0.03637974247854736,0.33600818443284264,0.62761207308861
163,gandsDrink gandsSCANLAN,neither,0.039453208442083915,0.33037608806864915,0.6301707034892671
164,#GoodluckVoxMachina,neither,0.039453208442083915,0.33037608806864915,0.6301707034892671
165,Throdak,neither,0.039453208442083915,0.33037608806864915,0.6301707034892671
166,i hope the floating soul of thordak has possessed grog,neither,0.06397781748367906,0.2329701144609916,0.7030520680553295
167,Bidet from Edmonton!,neither,0.04228451509352876,0.2823214250720796,0.6753940598343917
168,news,neither,0.039453208442083915,0.33037608806864915,0.6301707034892671
169,Kill Big Green!,hate_speech,0.39990653958212696,0.20894011083489364,0.39115334958297937
170,panicBasket panicBasket panicBasket panicBasket panicBasket panicBasket,neither,0.039453208442083915,0.33037608806864915,0.6301707034892671
171,Spice?,neither,0.039453208442083915,0.33037608806864915,0.6301707034892671
172,Bidet from Fort Worth texas,neither,0.04059632814105265,0.3109743634724629,0.6484293083864843
173,woohoo,neither,0.039453208442083915,0.33037608806864915,0.6301707034892671
174,Beep beep from Missouri!,neither,0.04071751644889743,0.3089174816120565,0.6503650019390461
175,let the bloodbath begin !,neither,0.02270944396052457,0.3472552641240977,0.6300352919153778
176,"I mean, this is not a hopeful fight, man! Thats essentially 2 ancient dragons in one encounter!",neither,0.04256357520761492,0.3850639601382371,0.5723724646541479
177,Giants Next?,neither,0.038519954727209725,0.3462158392081766,0.6152642060646136
178,gotta love the Dr Who theme music :),neither,0.03585098384968738,0.3938640862490265,0.570284929901286
179,hrpgHeyo @finnlayshards,neither,0.039453208442083915,0.33037608806864915,0.6301707034892671
180,"good to hear that it's offline, was wondering if it was on my end",neither,0.0209243866868748,0.4498541311088601,0.5292214822042651
181,everyone died las time,neither,0.03381139900566657,0.42613231815398706,0.5400562828403463
182,\Bidet and Beep beep!,neither,0.037639441157342385,0.1918412352459551,0.7705193235967025
183,Bidet from Ohio,neither,0.040754399270683486,0.3082914838698526,0.650954116859464
184,"I'm constantly blown away by how creative this community is, man am I glad to be a part of it",neither,0.04768506624225477,0.3720534207518417,0.5802615130059035
185,Hey...hey guys. IS IT THURSDAY YET!?!?!?!?!?!?!11oneone!?!,neither,0.043724910131223024,0.3301994041115424,0.6260756857572347
186,hell yes Rothfuss hype,offensive_language,0.04151164999667109,0.7416479024825552,0.21684044752077372
187,"first live episode, pretty pumped",neither,0.03715377990187892,0.3311669669853068,0.6316792531128143
188,@Dracoszurman I know what you mean I ave to get up at 7... so basically not go to sleep,neither,0.06084243492804797,0.44284515216572623,0.4963124129062258
189,oh my gaaaat the chat moves too fast...can't...read...all...,neither,0.03526211737465138,0.3899486164893052,0.5747892661360433
190,"bidet from Jamestown, NY!",neither,0.040845137705904734,0.30675141581570226,0.6524034464783931
191,gandsOwl,neither,0.039453208442083915,0.33037608806864915,0.6301707034892671
192,cheer100,neither,0.039453208442083915,0.33037608806864915,0.6301707034892671
193,Sountrack is from Pillars of Eternity.,neither,0.05916877170220058,0.2905229736048632,0.6503082546929363
194,Everyone ready for the raishan hunt?,neither,0.029465596478351157,0.3808908457183956,0.5896435578032532
195,lets see some fan art people Hoo Hoo Hoo,neither,0.044946655041050936,0.3401360820608845,0.6149172628980646
196,I wanna se the new Tellafaffy in use!,neither,0.016669913239717397,0.3231514429927649,0.6601786437675177
197,so many birthdays today including javale mcgee and luc longley,neither,0.03770237680498677,0.31575309500233306,0.6465445281926803
198,geekandsundry is online. RevloBot is now tracking loyalty.,neither,0.051579741165105136,0.3262052173957376,0.6222150414391574
199,tailis instead of luara,neither,0.039453208442083915,0.33037608806864915,0.6301707034892671
200,Bidet from AZ gandsNatTwenty,neither,0.04078317879478948,0.307803020237201,0.6514138009680096
201,I just got here. Is my Sticks Machina picture in the art roll?,neither,0.0559339296355926,0.3907445714216031,0.5533214989428042
202,Spice?,neither,0.039453208442083915,0.33037608806864915,0.6301707034892671
203,gandsSubHype gandsSubHype gandsSubHype gandsSubHype,neither,0.039453208442083915,0.33037608806864915,0.6301707034892671
204,i need to poo,neither,0.04704779679324745,0.3241476670106596,0.628804536196093
205,"My body is ready, but my soul is not",neither,0.02961513473074765,0.4622049971318444,0.508179868137408
206,can I get a scry poo from all Pittsburghers?,neither,0.04224500229031705,0.3901666862955529,0.5675883114141302
207,happy thursday,neither,0.039453208442083915,0.33037608806864915,0.6301707034892671
208,gandsGandsEars gandsGandsEars gandsGandsEars gandsGandsEars gandsGandsEars,neither,0.039453208442083915,0.33037608806864915,0.6301707034892671
209,Holy mother of god!,neither,0.039453208442083915,0.33037608806864915,0.6301707034892671
210,Ya'll don't know how bad I want Keyleth to get the finishing blow of Raishan,offensive_language,0.030332874348815164,0.4878967628153982,0.4817703628357867
211,gandsSCANLAN gandsSCANLAN gandsSCANLAN gandsSCANLAN,neither,0.039453208442083915,0.33037608806864915,0.6301707034892671
212,#WeKNOW,neither,0.039453208442083915,0.33037608806864915,0.6301707034892671
213,It's addictive,neither,0.034373745257138544,0.33212314837979673,0.6335031063630647
214,How does he do that every week?,neither,0.028989859369370388,0.4714229392969044,0.4995872013337253
215,!sub to chat during CR,neither,0.04424152223636372,0.3275532409882384,0.628205236775398
216,Rothfuss is here!!,neither,0.23309924666169,0.2254461374266117,0.5414546159116982
217,a leet gamer,neither,0.039453208442083915,0.33037608806864915,0.6301707034892671
218,don't forget to watch the critmas unwrapping episode at Matt's place :),neither,0.04930750019645342,0.29551677553430233,0.6551757242692442
219,i am excite for this episode of TM. can't wait,neither,0.03570092524054934,0.3098628678829708,0.65443620687648
220,how much time before it start?,neither,0.03033592185374363,0.4102105171604155,0.5594535609858409
221,Can't wait!!,neither,0.039910734139036584,0.3226106829444422,0.6374785829165213
222,gandsSCANLAN gandsCrit,neither,0.039453208442083915,0.33037608806864915,0.6301707034892671
223,"Bidet from Midland, tx",neither,0.040817483668844766,0.3072207769958956,0.6519617393352596
224,we live now?,neither,0.04562761404422119,0.331742017252864,0.6226303687029148
225,"Oh hey look, its live!",neither,0.04419073086555097,0.2821039788449189,0.6737052902895301
226,press F to FIXHIM!!!,neither,0.04914831480776245,0.3247843029563336,0.6260673822359039
227,"Bidet, friends!",neither,0.039453208442083915,0.33037608806864915,0.6301707034892671
228,I was cutting out NPC printouts to laminate and darn near forgot what time it was,neither,0.041288431617781736,0.32628841636489714,0.632423152017321
229,Bidet from Columbus Ohio,neither,0.04041760642126136,0.3140077374838422,0.6455746560948964
230,gandsGandsPoo,neither,0.039453208442083915,0.33037608806864915,0.6301707034892671
231,these pics are hitting me in the feels! !!,neither,0.05982246156283238,0.3662826773625085,0.5738948610746591
232,#FixHim,neither,0.039453208442083915,0.33037608806864915,0.6301707034892671
233,Scanlan is the last character I want to die. But I would love to see where a permanent death would take the narrative.,neither,0.1017520744284135,0.20747492413607108,0.6907730014355153
234,FIXHIM,neither,0.039453208442083915,0.33037608806864915,0.6301707034892671
235,beep beep and bidet!,neither,0.037639441157342385,0.1918412352459551,0.7705193235967025
236,Probably alpha's fault. :p,neither,0.038410822322910085,0.3480681009220213,0.6135210767550687
237,bidet from pa,neither,0.04069404815304118,0.30931579984010865,0.6499901520068502
238,Bidet from Kansas,neither,0.04071751644889743,0.3089174816120565,0.6503650019390461
239,is alpha down or something? I cant get on it,neither,0.04160800017063958,0.3459241572411172,0.6124678425882433
240,What ever happened to the angel kids?,neither,0.04895639070643825,0.3109783245475609,0.6400652847460009
241,gandsGandsPoo gandsGandsPoo gandsGandsPoo gandsGandsPoo gandsGandsPoo gandsGandsPoo gandsGandsPoo,neither,0.039453208442083915,0.33037608806864915,0.6301707034892671
242,FIX HIM!,neither,0.039286977096751115,0.333197467828188,0.6275155550750611
243,hey all,neither,0.042853467422398234,0.4625562502340746,0.4945902823435273
244,Keyleth killed scanlan!,neither,0.039453208442083915,0.33037608806864915,0.6301707034892671
245,Beep beep lets hope the storm doesnt knock my internet out again.,neither,0.04442413264651349,0.3387072408968013,0.6168686264566852
246,@praise_the_goddess You had a stroke. Just you. :p,offensive_language,0.07333747888155304,0.4650076243891276,0.4616548967293194
247,"@nerdwithabrush7 it's my first stream too, wohooo! I was trying to catch up for this day!",neither,0.025966781355823216,0.3917803763706431,0.5822528422735336
248,gandsMatt gandsSCANLAN gandsDrink gandsTrinketArmor <3 gandsCrit,neither,0.039453208442083915,0.33037608806864915,0.6301707034892671
249,gandsDrink gandsDrink,neither,0.039453208442083915,0.33037608806864915,0.6301707034892671
250,woooow,neither,0.039453208442083915,0.33037608806864915,0.6301707034892671
251,"BlueTwin20, you will be so lost",neither,0.06702759541943773,0.4379237192119837,0.4950486853685786
252,the pit!!!,neither,0.03826739049100925,0.3084973326782542,0.6532352768307366
253,w00t w00t w00t!!,neither,0.039453208442083915,0.33037608806864915,0.6301707034892671
254,wooooooowwww!!!,neither,0.039453208442083915,0.33037608806864915,0.6301707034892671
255,gandsSCANLAN gandsSCANLAN gandsSCANLAN gandsSCANLAN gandsSCANLAN gandsSCANLAN,neither,0.039453208442083915,0.33037608806864915,0.6301707034892671
256,gandsCrit,neither,0.039453208442083915,0.33037608806864915,0.6301707034892671
257,Sam should prank himself lol.,neither,0.041877873870731434,0.4019321202022053,0.5561900059270631
258,INB4 non-lethal quivering palm! Don't throw another shitstorm over it!,neither,0.05992219093081265,0.2909869456856577,0.6490908633835296
259,Bidet Everyone.,offensive_language,0.029888967906347413,0.4927062106388782,0.4774048214547744
260,Woo,neither,0.039453208442083915,0.33037608806864915,0.6301707034892671
261,!wallet,neither,0.039453208442083915,0.33037608806864915,0.6301707034892671
262,yay,neither,0.039453208442083915,0.33037608806864915,0.6301707034892671
263,Do I have the time to grab some popcorn?,neither,0.03668207514921595,0.3475281257492931,0.6157897991014909
264,ART,neither,0.039453208442083915,0.33037608806864915,0.6301707034892671
265,@Crappledumpkins Primarily because it would gross out the opposers. We enjoy being trangressive.,neither,0.03095382180805232,0.3491612425519051,0.6198849356400427
266,the love for the art is real,neither,0.030471454887043236,0.3871519420042782,0.5823766031086786
267,Bidet!,neither,0.039453208442083915,0.33037608806864915,0.6301707034892671
268,is it thursday yet,neither,0.046511356642776266,0.3279484672467925,0.6255401761104311
269,@iblizzard 2 months til your G&S logo Kreygasm,neither,0.06597038960025119,0.323017684367966,0.6110119260317829
270,BIDET FROM NEW ZEALAND!~ rooAww rooHappy rooW,neither,0.046710622032705686,0.1542697019613409,0.7990196760059534
